	2017	2018	diff	sum	2017_norm	2018_norm	norm_diff
hz	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hamming	0.000	1.000	1.000	1.000	0.000	0.000	0.000
novelty	1.000	2.000	1.000	3.000	0.000	0.000	0.000
multicue	0.000	1.000	1.000	1.000	0.000	0.000	0.000
optimize	0.000	1.000	1.000	1.000	0.000	0.000	0.000
motionblurred	0.000	1.000	1.000	1.000	0.000	0.000	0.000
orthogonal	0.000	1.000	1.000	1.000	0.000	0.000	0.000
motionguided	0.000	1.000	1.000	1.000	0.000	0.000	0.000
organization	0.000	1.000	1.000	1.000	0.000	0.000	0.000
organ	0.000	1.000	1.000	1.000	0.000	0.000	0.000
moviegraphs	0.000	1.000	1.000	1.000	0.000	0.000	0.000
groupshuffling	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ordering	0.000	1.000	1.000	1.000	0.000	0.000	0.000
groupview	0.000	1.000	1.000	1.000	0.000	0.000	0.000
mrfmap	0.000	1.000	1.000	1.000	0.000	0.000	0.000
mrfs	0.000	1.000	1.000	1.000	0.000	0.000	0.000
grow	0.000	1.000	1.000	1.000	0.000	0.000	0.000
growing	1.000	2.000	1.000	3.000	0.000	0.000	0.000
identitypreserving	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multiagent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
guide	0.000	1.000	1.000	1.000	0.000	0.000	0.000
im2pano3d	0.000	1.000	1.000	1.000	0.000	0.000	0.000
optimizationinspired	0.000	1.000	1.000	1.000	0.000	0.000	0.000
im2flow	0.000	1.000	1.000	1.000	0.000	0.000	0.000
illustration	0.000	1.000	1.000	1.000	0.000	0.000	0.000
illuminance	0.000	1.000	1.000	1.000	0.000	0.000	0.000
optimisable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multitarget	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multicell	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multiclass	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multicontent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
gvcnn	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hybrid	2.000	3.000	1.000	5.000	0.000	0.000	0.000
multitask	5.000	6.000	1.000	11.000	0.001	0.001	-0.000
history	0.000	1.000	1.000	1.000	0.000	0.000	0.000
head	1.000	2.000	1.000	3.000	0.000	0.000	0.000
histograms	0.000	1.000	1.000	1.000	0.000	0.000	0.000
observability	0.000	1.000	1.000	1.000	0.000	0.000	0.000
net2vec	0.000	1.000	1.000	1.000	0.000	0.000	0.000
nets	2.000	3.000	1.000	5.000	0.000	0.000	0.000
hearing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
heteroscedastic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hierarchicallynested	0.000	1.000	1.000	1.000	0.000	0.000	0.000
neumatch	0.000	1.000	1.000	1.000	0.000	0.000	0.000
neuralnetworkviterbi	0.000	1.000	1.000	1.000	0.000	0.000	0.000
histogram	0.000	1.000	1.000	1.000	0.000	0.000	0.000
neuron	0.000	1.000	1.000	1.000	0.000	0.000	0.000
higherorder	2.000	3.000	1.000	5.000	0.000	0.000	0.000
highspeed	1.000	2.000	1.000	3.000	0.000	0.000	0.000
neurons	0.000	1.000	1.000	1.000	0.000	0.000	0.000
nisp	0.000	1.000	1.000	1.000	0.000	0.000	0.000
obfuscation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
highquality	0.000	1.000	1.000	1.000	0.000	0.000	0.000
oatm	0.000	1.000	1.000	1.000	0.000	0.000	0.000
nms	0.000	1.000	1.000	1.000	0.000	0.000	0.000
no	0.000	1.000	1.000	1.000	0.000	0.000	0.000
nondifferentiable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
nongreedy	0.000	1.000	1.000	1.000	0.000	0.000	0.000
nonminimal	0.000	1.000	1.000	1.000	0.000	0.000	0.000
nuclear	0.000	1.000	1.000	1.000	0.000	0.000	0.000
noreference	0.000	1.000	1.000	1.000	0.000	0.000	0.000
norm	0.000	1.000	1.000	1.000	0.000	0.000	0.000
normalizations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
highorder	0.000	1.000	1.000	1.000	0.000	0.000	0.000
observer	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hdr	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multitasks	0.000	1.000	1.000	1.000	0.000	0.000	0.000
nestednet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
multiviews	0.000	1.000	1.000	1.000	0.000	0.000	0.000
onboard	0.000	1.000	1.000	1.000	0.000	0.000	0.000
now	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hunting	0.000	1.000	1.000	1.000	0.000	0.000	0.000
humanobject	0.000	1.000	1.000	1.000	0.000	0.000	0.000
mxlstm	0.000	1.000	1.000	1.000	0.000	0.000	0.000
nag	0.000	1.000	1.000	1.000	0.000	0.000	0.000
narrated	0.000	1.000	1.000	1.000	0.000	0.000	0.000
omnisupervised	0.000	1.000	1.000	1.000	0.000	0.000	0.000
humanmachine	0.000	1.000	1.000	1.000	0.000	0.000	0.000
navigation	1.000	2.000	1.000	3.000	0.000	0.000	0.000
nearest	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ol	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hashgan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
huge	0.000	1.000	1.000	1.000	0.000	0.000	0.000
occurrences	0.000	1.000	1.000	1.000	0.000	0.000	0.000
occlusions	0.000	1.000	1.000	1.000	0.000	0.000	0.000
neighbor	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hsarnn	0.000	1.000	1.000	1.000	0.000	0.000	0.000
household	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hough	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hashtag	0.000	1.000	1.000	1.000	0.000	0.000	0.000
neighborhood	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hats	0.000	1.000	1.000	1.000	0.000	0.000	0.000
have	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hd	0.000	1.000	1.000	1.000	0.000	0.000	0.000
neighbors	0.000	1.000	1.000	1.000	0.000	0.000	0.000
honeybee	0.000	1.000	1.000	1.000	0.000	0.000	0.000
hive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
motionappearance	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ldmnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
motifs	0.000	1.000	1.000	1.000	0.000	0.000	0.000
kinematic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lovszsoftmax	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lossy	0.000	1.000	1.000	1.000	0.000	0.000	0.000
iqa	0.000	1.000	1.000	1.000	0.000	0.000	0.000
isomers	0.000	1.000	1.000	1.000	0.000	0.000	0.000
istanet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
losserroraware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
iteratively	0.000	1.000	1.000	1.000	0.000	0.000	0.000
looking	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ivqa	0.000	1.000	1.000	1.000	0.000	0.000	0.000
jerkaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
longer	0.000	1.000	1.000	1.000	0.000	0.000	0.000
just	0.000	1.000	1.000	1.000	0.000	0.000	0.000
justifying	0.000	1.000	1.000	1.000	0.000	0.000	0.000
kendalls	0.000	1.000	1.000	1.000	0.000	0.000	0.000
logo	0.000	1.000	1.000	1.000	0.000	0.000	0.000
locations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
locationaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
iou	0.000	1.000	1.000	1.000	0.000	0.000	0.000
inverted	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lowbitwidth	0.000	1.000	1.000	1.000	0.000	0.000	0.000
manifolds	2.000	3.000	1.000	5.000	0.000	0.000	0.000
mapnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
intersectionoverunion	0.000	1.000	1.000	1.000	0.000	0.000	0.000
intrinsic	5.000	6.000	1.000	11.000	0.001	0.001	-0.000
many	0.000	1.000	1.000	1.000	0.000	0.000	0.000
manmade	0.000	1.000	1.000	1.000	0.000	0.000	0.000
introspection	0.000	1.000	1.000	1.000	0.000	0.000	0.000
introspective	0.000	1.000	1.000	1.000	0.000	0.000	0.000
makeup	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lowlatency	0.000	1.000	1.000	1.000	0.000	0.000	0.000
makes	0.000	1.000	1.000	1.000	0.000	0.000	0.000
invariance	0.000	1.000	1.000	1.000	0.000	0.000	0.000
invariant	3.000	4.000	1.000	7.000	0.000	0.001	0.000
make	0.000	1.000	1.000	1.000	0.000	0.000	0.000
m3	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lowlevel	0.000	1.000	1.000	1.000	0.000	0.000	0.000
inversefacenet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
localizing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
kinetic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
im2struct	0.000	1.000	1.000	1.000	0.000	0.000	0.000
localize	0.000	1.000	1.000	1.000	0.000	0.000	0.000
outside	0.000	1.000	1.000	1.000	0.000	0.000	0.000
light	9.000	10.000	1.000	19.000	0.001	0.001	-0.000
liftingfree	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lifestyle	0.000	1.000	1.000	1.000	0.000	0.000	0.000
life	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lidarvideo	0.000	1.000	1.000	1.000	0.000	0.000	0.000
let	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lego	0.000	1.000	1.000	1.000	0.000	0.000	0.000
layer	1.000	2.000	1.000	3.000	0.000	0.000	0.000
layers	1.000	2.000	1.000	3.000	0.000	0.000	0.000
learnings	0.000	1.000	1.000	1.000	0.000	0.000	0.000
learningcompression	0.000	1.000	1.000	1.000	0.000	0.000	0.000
layout	2.000	3.000	1.000	5.000	0.000	0.000	0.000
layoutnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
learners	0.000	1.000	1.000	1.000	0.000	0.000	0.000
learner	0.000	1.000	1.000	1.000	0.000	0.000	0.000
learned	4.000	5.000	1.000	9.000	0.001	0.001	0.000
laser	0.000	1.000	1.000	1.000	0.000	0.000	0.000
large	6.000	7.000	1.000	13.000	0.001	0.001	-0.000
languagebased	0.000	1.000	1.000	1.000	0.000	0.000	0.000
live	0.000	1.000	1.000	1.000	0.000	0.000	0.000
kippi	0.000	1.000	1.000	1.000	0.000	0.000	0.000
localisation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
localglobal	0.000	1.000	1.000	1.000	0.000	0.000	0.000
known	0.000	1.000	1.000	1.000	0.000	0.000	0.000
kroneckerproduct	0.000	1.000	1.000	1.000	0.000	0.000	0.000
l1l0	0.000	1.000	1.000	1.000	0.000	0.000	0.000
l1norm	0.000	1.000	1.000	1.000	0.000	0.000	0.000
la	0.000	1.000	1.000	1.000	0.000	0.000	0.000
landmarks	0.000	1.000	1.000	1.000	0.000	0.000	0.000
liteflownet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lions	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lines	0.000	1.000	1.000	1.000	0.000	0.000	0.000
linearization	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lime	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lamv	0.000	1.000	1.000	1.000	0.000	0.000	0.000
landmarkguided	0.000	1.000	1.000	1.000	0.000	0.000	0.000
interpreting	0.000	1.000	1.000	1.000	0.000	0.000	0.000
mappings	0.000	1.000	1.000	1.000	0.000	0.000	0.000
marching	0.000	1.000	1.000	1.000	0.000	0.000	0.000
interpretable	2.000	3.000	1.000	5.000	0.000	0.000	0.000
improvement	0.000	1.000	1.000	1.000	0.000	0.000	0.000
improvements	0.000	1.000	1.000	1.000	0.000	0.000	0.000
mix	0.000	1.000	1.000	1.000	0.000	0.000	0.000
inaturalist	0.000	1.000	1.000	1.000	0.000	0.000	0.000
minimalist	0.000	1.000	1.000	1.000	0.000	0.000	0.000
minibatch	0.000	1.000	1.000	1.000	0.000	0.000	0.000
incident	0.000	1.000	1.000	1.000	0.000	0.000	0.000
minentropy	0.000	1.000	1.000	1.000	0.000	0.000	0.000
independence	0.000	1.000	1.000	1.000	0.000	0.000	0.000
millionscale	0.000	1.000	1.000	1.000	0.000	0.000	0.000
indrnn	0.000	1.000	1.000	1.000	0.000	0.000	0.000
millions	0.000	1.000	1.000	1.000	0.000	0.000	0.000
induced	0.000	1.000	1.000	1.000	0.000	0.000	0.000
mict	0.000	1.000	1.000	1.000	0.000	0.000	0.000
infinitedimensional	0.000	1.000	1.000	1.000	0.000	0.000	0.000
information	6.000	7.000	1.000	13.000	0.001	0.001	-0.000
microscopic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
improved	2.000	3.000	1.000	5.000	0.000	0.000	0.000
imprinted	0.000	1.000	1.000	1.000	0.000	0.000	0.000
mobilenetv2	0.000	1.000	1.000	1.000	0.000	0.000	0.000
module	0.000	1.000	1.000	1.000	0.000	0.000	0.000
morphnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
montecarlo	0.000	1.000	1.000	1.000	0.000	0.000	0.000
imagebased	1.000	2.000	1.000	3.000	0.000	0.000	0.000
imageerror	0.000	1.000	1.000	1.000	0.000	0.000	0.000
imageimage	0.000	1.000	1.000	1.000	0.000	0.000	0.000
momentum	0.000	1.000	1.000	1.000	0.000	0.000	0.000
imagenet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ldan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
mocogan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
modifying	0.000	1.000	1.000	1.000	0.000	0.000	0.000
imaginary	0.000	1.000	1.000	1.000	0.000	0.000	0.000
imagine	0.000	1.000	1.000	1.000	0.000	0.000	0.000
modelling	1.000	2.000	1.000	3.000	0.000	0.000	0.000
modeling	11.000	12.000	1.000	23.000	0.002	0.002	-0.000
immersive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
implicit	0.000	1.000	1.000	1.000	0.000	0.000	0.000
methods	1.000	2.000	1.000	3.000	0.000	0.000	0.000
meta	0.000	1.000	1.000	1.000	0.000	0.000	0.000
initializationfree	0.000	1.000	1.000	1.000	0.000	0.000	0.000
intentions	0.000	1.000	1.000	1.000	0.000	0.000	0.000
mattnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
matryoshka	0.000	1.000	1.000	1.000	0.000	0.000	0.000
intelligent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
matrices	1.000	2.000	1.000	3.000	0.000	0.000	0.000
intelligently	0.000	1.000	1.000	1.000	0.000	0.000	0.000
intensity	2.000	3.000	1.000	5.000	0.000	0.000	0.000
mathematical	0.000	1.000	1.000	1.000	0.000	0.000	0.000
interact	0.000	1.000	1.000	1.000	0.000	0.000	0.000
integrating	0.000	1.000	1.000	1.000	0.000	0.000	0.000
materialaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
interleaved	0.000	1.000	1.000	1.000	0.000	0.000	0.000
masklab	0.000	1.000	1.000	1.000	0.000	0.000	0.000
maskguided	0.000	1.000	1.000	1.000	0.000	0.000	0.000
intermediate	0.000	1.000	1.000	1.000	0.000	0.000	0.000
internal	0.000	1.000	1.000	1.000	0.000	0.000	0.000
interpret	0.000	1.000	1.000	1.000	0.000	0.000	0.000
integration	0.000	1.000	1.000	1.000	0.000	0.000	0.000
meanvariance	0.000	1.000	1.000	1.000	0.000	0.000	0.000
mesoscopic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
inloc	0.000	1.000	1.000	1.000	0.000	0.000	0.000
mesh	1.000	2.000	1.000	3.000	0.000	0.000	0.000
inlier	0.000	1.000	1.000	1.000	0.000	0.000	0.000
memoryoptimized	0.000	1.000	1.000	1.000	0.000	0.000	0.000
memorability	0.000	1.000	1.000	1.000	0.000	0.000	0.000
inline	0.000	1.000	1.000	1.000	0.000	0.000	0.000
megdet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
megadepth	0.000	1.000	1.000	1.000	0.000	0.000	0.000
inner	0.000	1.000	1.000	1.000	0.000	0.000	0.000
integerarithmeticonly	0.000	1.000	1.000	1.000	0.000	0.000	0.000
inparallel	0.000	1.000	1.000	1.000	0.000	0.000	0.000
media	0.000	1.000	1.000	1.000	0.000	0.000	0.000
inplace	0.000	1.000	1.000	1.000	0.000	0.000	0.000
input	0.000	1.000	1.000	1.000	0.000	0.000	0.000
instancelevel	2.000	3.000	1.000	5.000	0.000	0.000	0.000
instructions	0.000	1.000	1.000	1.000	0.000	0.000	0.000
instructor	0.000	1.000	1.000	1.000	0.000	0.000	0.000
modulated	0.000	1.000	1.000	1.000	0.000	0.000	0.000
lose	0.000	1.000	1.000	1.000	0.000	0.000	0.000
overcoming	0.000	1.000	1.000	1.000	0.000	0.000	0.000
submanifold	0.000	1.000	1.000	1.000	0.000	0.000	0.000
surface	5.000	6.000	1.000	11.000	0.001	0.001	-0.000
supplementary	0.000	1.000	1.000	1.000	0.000	0.000	0.000
supervoxels	0.000	1.000	1.000	1.000	0.000	0.000	0.000
supervisory	0.000	1.000	1.000	1.000	0.000	0.000	0.000
supervisionbyregistration	0.000	1.000	1.000	1.000	0.000	0.000	0.000
superresolving	0.000	1.000	1.000	1.000	0.000	0.000	0.000
superpoint	0.000	1.000	1.000	1.000	0.000	0.000	0.000
superfan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
superevents	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sumofsquares	0.000	1.000	1.000	1.000	0.000	0.000	0.000
subpixel	0.000	1.000	1.000	1.000	0.000	0.000	0.000
subitizing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
surrogate	0.000	1.000	1.000	1.000	0.000	0.000	0.000
stylised	0.000	1.000	1.000	1.000	0.000	0.000	0.000
styleaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
stuff	0.000	1.000	1.000	1.000	0.000	0.000	0.000
structures	2.000	3.000	1.000	5.000	0.000	0.000	0.000
structureadaptive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
strong	1.000	2.000	1.000	3.000	0.000	0.000	0.000
strict	0.000	1.000	1.000	1.000	0.000	0.000	0.000
strength	0.000	1.000	1.000	1.000	0.000	0.000	0.000
streams	0.000	1.000	1.000	1.000	0.000	0.000	0.000
streak	0.000	1.000	1.000	1.000	0.000	0.000	0.000
storybased	0.000	1.000	1.000	1.000	0.000	0.000	0.000
surfconv	0.000	1.000	1.000	1.000	0.000	0.000	0.000
symbolic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
texturegan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
technique	0.000	1.000	1.000	1.000	0.000	0.000	0.000
textualvisual	0.000	1.000	1.000	1.000	0.000	0.000	0.000
textual	0.000	1.000	1.000	1.000	0.000	0.000	0.000
textspotter	0.000	1.000	1.000	1.000	0.000	0.000	0.000
texts	0.000	1.000	1.000	1.000	0.000	0.000	0.000
textimage	0.000	1.000	1.000	1.000	0.000	0.000	0.000
text	8.000	9.000	1.000	17.000	0.001	0.001	-0.000
tessellations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
terrain	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tensorize	0.000	1.000	1.000	1.000	0.000	0.000	0.000
temporallyaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tell	0.000	1.000	1.000	1.000	0.000	0.000	0.000
teacher	0.000	1.000	1.000	1.000	0.000	0.000	0.000
synthesized	0.000	1.000	1.000	1.000	0.000	0.000	0.000
taskonomy	0.000	1.000	1.000	1.000	0.000	0.000	0.000
task	1.000	2.000	1.000	3.000	0.000	0.000	0.000
target	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tangent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
talking	0.000	1.000	1.000	1.000	0.000	0.000	0.000
talk	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tags2parts	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tags	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tagging	0.000	1.000	1.000	1.000	0.000	0.000	0.000
tabletop	0.000	1.000	1.000	1.000	0.000	0.000	0.000
syq	0.000	1.000	1.000	1.000	0.000	0.000	0.000
still	0.000	1.000	1.000	1.000	0.000	0.000	0.000
stgan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
stereoscopic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
slam	2.000	3.000	1.000	5.000	0.000	0.000	0.000
solid	0.000	1.000	1.000	1.000	0.000	0.000	0.000
socially	0.000	1.000	1.000	1.000	0.000	0.000	0.000
soccer	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sobolevfusion	0.000	1.000	1.000	1.000	0.000	0.000	0.000
snippetsimilarity	0.000	1.000	1.000	1.000	0.000	0.000	0.000
snippet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
snip	0.000	1.000	1.000	1.000	0.000	0.000	0.000
smoothing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
smartphone	0.000	1.000	1.000	1.000	0.000	0.000	0.000
smart	0.000	1.000	1.000	1.000	0.000	0.000	0.000
slomo	0.000	1.000	1.000	1.000	0.000	0.000	0.000
skipping	0.000	1.000	1.000	1.000	0.000	0.000	0.000
stereopsis	0.000	1.000	1.000	1.000	0.000	0.000	0.000
skin	0.000	1.000	1.000	1.000	0.000	0.000	0.000
skill	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sketchygan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sketchmate	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sketchimage	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sketchaclassifier	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sketch	3.000	4.000	1.000	7.000	0.000	0.001	0.000
situations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sint	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sinogram	0.000	1.000	1.000	1.000	0.000	0.000	0.000
singlestage	0.000	1.000	1.000	1.000	0.000	0.000	0.000
solving	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sonet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
sosrsc	0.000	1.000	1.000	1.000	0.000	0.000	0.000
spad	0.000	1.000	1.000	1.000	0.000	0.000	0.000
stepwise	0.000	1.000	1.000	1.000	0.000	0.000	0.000
steering	0.000	1.000	1.000	1.000	0.000	0.000	0.000
steerable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
statistics	1.000	2.000	1.000	3.000	0.000	0.000	0.000
statistical	1.000	2.000	1.000	3.000	0.000	0.000	0.000
states	0.000	1.000	1.000	1.000	0.000	0.000	0.000
stargan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
standard	0.000	1.000	1.000	1.000	0.000	0.000	0.000
stable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ssnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
squeezeandexcitation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
square	0.000	1.000	1.000	1.000	0.000	0.000	0.000
spot	0.000	1.000	1.000	1.000	0.000	0.000	0.000
splinecnn	0.000	1.000	1.000	1.000	0.000	0.000	0.000
spline	0.000	1.000	1.000	1.000	0.000	0.000	0.000
splatnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
spectrabased	0.000	1.000	1.000	1.000	0.000	0.000	0.000
specific	0.000	1.000	1.000	1.000	0.000	0.000	0.000
species	0.000	1.000	1.000	1.000	0.000	0.000	0.000
specialized	0.000	1.000	1.000	1.000	0.000	0.000	0.000
spatiotemporally	0.000	1.000	1.000	1.000	0.000	0.000	0.000
spatiallyadaptive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
spatialaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
texture	6.000	7.000	1.000	13.000	0.001	0.001	-0.000
them	0.000	1.000	1.000	1.000	0.000	0.000	0.000
oxford	0.000	1.000	1.000	1.000	0.000	0.000	0.000
visionandlanguage	0.000	1.000	1.000	1.000	0.000	0.000	0.000
volume	1.000	2.000	1.000	3.000	0.000	0.000	0.000
voices	0.000	1.000	1.000	1.000	0.000	0.000	0.000
vlogs	0.000	1.000	1.000	1.000	0.000	0.000	0.000
vizwiz	0.000	1.000	1.000	1.000	0.000	0.000	0.000
viton	0.000	1.000	1.000	1.000	0.000	0.000	0.000
vital	0.000	1.000	1.000	1.000	0.000	0.000	0.000
visualtext	0.000	1.000	1.000	1.000	0.000	0.000	0.000
visuallygrounded	0.000	1.000	1.000	1.000	0.000	0.000	0.000
visualizations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
vislets	0.000	1.000	1.000	1.000	0.000	0.000	0.000
visiontolanguage	0.000	1.000	1.000	1.000	0.000	0.000	0.000
virtualhome	0.000	1.000	1.000	1.000	0.000	0.000	0.000
voxelnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
vins	0.000	1.000	1.000	1.000	0.000	0.000	0.000
viewpoints	0.000	1.000	1.000	1.000	0.000	0.000	0.000
videobased	1.000	2.000	1.000	3.000	0.000	0.000	0.000
vectors	0.000	1.000	1.000	1.000	0.000	0.000	0.000
varying	0.000	1.000	1.000	1.000	0.000	0.000	0.000
variations	0.000	1.000	1.000	1.000	0.000	0.000	0.000
variants	0.000	1.000	1.000	1.000	0.000	0.000	0.000
variant	0.000	1.000	1.000	1.000	0.000	0.000	0.000
v2vposenet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
uvgan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
uv	0.000	1.000	1.000	1.000	0.000	0.000	0.000
volumes	0.000	1.000	1.000	1.000	0.000	0.000	0.000
voxeltovoxel	0.000	1.000	1.000	1.000	0.000	0.000	0.000
therapy	0.000	1.000	1.000	1.000	0.000	0.000	0.000
will	0.000	1.000	1.000	1.000	0.000	0.000	0.000
zoom	0.000	1.000	1.000	1.000	0.000	0.000	0.000
zigzag	0.000	1.000	1.000	1.000	0.000	0.000	0.000
zeropair	0.000	1.000	1.000	1.000	0.000	0.000	0.000
xunit	0.000	1.000	1.000	1.000	0.000	0.000	0.000
xrays	0.000	1.000	1.000	1.000	0.000	0.000	0.000
wrapped	0.000	1.000	1.000	1.000	0.000	0.000	0.000
worlds	0.000	1.000	1.000	1.000	0.000	0.000	0.000
words	0.000	1.000	1.000	1.000	0.000	0.000	0.000
within	0.000	1.000	1.000	1.000	0.000	0.000	0.000
wireframes	0.000	1.000	1.000	1.000	0.000	0.000	0.000
wing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
wildtrack	0.000	1.000	1.000	1.000	0.000	0.000	0.000
w2f	0.000	1.000	1.000	1.000	0.000	0.000	0.000
wide	0.000	1.000	1.000	1.000	0.000	0.000	0.000
who	0.000	1.000	1.000	1.000	0.000	0.000	0.000
where	1.000	2.000	1.000	3.000	0.000	0.000	0.000
when	1.000	2.000	1.000	3.000	0.000	0.000	0.000
weights	0.000	1.000	1.000	1.000	0.000	0.000	0.000
weigh	0.000	1.000	1.000	1.000	0.000	0.000	0.000
webly	1.000	2.000	1.000	3.000	0.000	0.000	0.000
weak	0.000	1.000	1.000	1.000	0.000	0.000	0.000
we	0.000	1.000	1.000	1.000	0.000	0.000	0.000
warping	0.000	1.000	1.000	1.000	0.000	0.000	0.000
wardrobes	0.000	1.000	1.000	1.000	0.000	0.000	0.000
utility	0.000	1.000	1.000	1.000	0.000	0.000	0.000
upgrade	0.000	1.000	1.000	1.000	0.000	0.000	0.000
updated	0.000	1.000	1.000	1.000	0.000	0.000	0.000
